"lake_name","x_null","y_null","elev","area","depth","LID","region","geomorphic_type","max_depth","depth_measurement","data_quality","area_ha"
"Okareka",335.968,-38.72,355.3,3359680,0,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.968
"Okareka",335.968,-38.72,355.1,3359672.73,-0.2,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.967273
"Okareka",335.968,-38.72,354.9,3359669.12,-0.4,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.966912
"Okareka",335.968,-38.72,354.7,3359665.92,-0.6,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.966592
"Okareka",335.968,-38.72,354.5,3359658.88,-0.8,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.965888
"Okareka",335.968,-38.72,354.3,3359646.08,-1,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.964608
"Okareka",335.968,-38.72,354.1,3359633.28,-1.2,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.963328
"Okareka",335.968,-38.72,353.9,3359601.76,-1.4,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.960176
"Okareka",335.968,-38.72,353.7,3359568.16,-1.6,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.956816
"Okareka",335.968,-38.72,353.5,3357621.6,-1.8,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.76216
"Okareka",335.968,-38.72,353.3,3352805.6,-2,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",335.28056
"Okareka",335.968,-38.72,353.1,3347989.6,-2.2,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",334.79896
"Okareka",335.968,-38.72,352.9,3336834.72,-2.4,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",333.683472
"Okareka",335.968,-38.72,352.7,3324975.52,-2.6,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",332.497552
"Okareka",335.968,-38.72,352.5,3308230.56,-2.8,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",330.823056
"Okareka",335.968,-38.72,352.3,3284156.96,-3,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",328.415696
"Okareka",335.968,-38.72,352.1,3260083.36,-3.2,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",326.008336
"Okareka",335.968,-38.72,351.9,3232576.8,-3.4,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",323.25768
"Okareka",335.968,-38.72,351.7,3204688.8,-3.6,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",320.46888
"Okareka",335.968,-38.72,351.5,3179744.8,-3.8,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",317.97448
"Okareka",335.968,-38.72,351.3,3159216.8,-4,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",315.92168
"Okareka",335.968,-38.72,351.1,3138688.8,-4.2,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",313.86888
"Okareka",335.968,-38.72,350.9,3119455.36,-4.4,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",311.945536
"Okareka",335.968,-38.72,350.7,3100365.76,-4.6,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",310.036576
"Okareka",335.968,-38.72,350.5,3081368.96,-4.8,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",308.136896
"Okareka",335.968,-38.72,350.3,3062511.36,-5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",306.251136
"Okareka",335.968,-38.72,349.8,3014849.92,-5.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",301.484992
"Okareka",335.968,-38.72,349.3,2961918.88,-6,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",296.191888
"Okareka",335.968,-38.72,348.8,2906927.52,-6.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",290.692752
"Okareka",335.968,-38.72,348.3,2860953.44,-7,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",286.095344
"Okareka",335.968,-38.72,347.8,2822359.52,-7.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",282.235952
"Okareka",335.968,-38.72,347.3,2784737.28,-8,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",278.473728
"Okareka",335.968,-38.72,346.8,2746330.88,-8.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",274.633088
"Okareka",335.968,-38.72,346.3,2707385.6,-9,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",270.73856
"Okareka",335.968,-38.72,345.8,2668571.04,-9.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",266.857104
"Okareka",335.968,-38.72,345.3,2630762.24,-10,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",263.076224
"Okareka",335.968,-38.72,344.8,2594456.96,-10.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",259.445696
"Okareka",335.968,-38.72,344.3,2559104.48,-11,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",255.910448
"Okareka",335.968,-38.72,343.8,2524034.88,-11.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",252.403488
"Okareka",335.968,-38.72,343.3,2489460,-12,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",248.946
"Okareka",335.968,-38.72,342.8,2456711.52,-12.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",245.671152
"Okareka",335.968,-38.72,342.3,2425871.84,-13,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",242.587184
"Okareka",335.968,-38.72,341.8,2395476.8,-13.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",239.54768
"Okareka",335.968,-38.72,341.3,2364166.08,-14,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",236.416608
"Okareka",335.968,-38.72,340.8,2331694.24,-14.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",233.169424
"Okareka",335.968,-38.72,340.3,2298153.12,-15,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",229.815312
"Okareka",335.968,-38.72,339.8,2264053.6,-15.5,"LID15325","Bay of Plenty","Volcanic",38.72,"Measured","Seasonal but Detailed",226.40536
