time      ,   ShortWave,    LongWave,     AirTemp,      RelHum,   WindSpeed,        Rain,        Snow,     AirPres
1980-01-03,     279.943,     291.172,      13.764,      65.771,       4.111,     0.00049,     0.00000, 96991.00000
1980-01-04,     255.473,     312.374,      14.388,      66.047,       4.396,     0.00031,     0.00000, 97304.00000
1980-01-05,     350.490,     240.001,      14.983,      65.951,       2.812,     0.00005,     0.00000, 97358.60000
1980-01-06,     241.255,     326.112,      15.210,      71.198,       0.621,     0.00035,     0.00000, 97218.30000
1980-01-07,     220.205,     343.742,      15.743,      83.669,       1.761,     0.00608,     0.00000, 97372.60000
1980-01-08,     209.078,     354.831,      16.284,      82.249,       1.900,     0.00547,     0.00000, 97641.60000
1980-01-09,     216.393,     352.584,      17.094,      78.599,       1.137,     0.00362,     0.00000, 97670.90000
1980-01-10,     333.516,     264.219,      18.986,      67.848,       2.267,     0.00083,     0.00000, 97284.00000
1980-01-11,      69.831,     422.623,      16.940,      94.394,       1.874,     0.00795,     0.00000, 96850.10000
1980-01-12,     302.571,     289.031,      19.345,      78.880,       4.519,     0.00410,     0.00000, 96779.70000
1980-01-13,     281.878,     305.667,      19.188,      76.863,       4.670,     0.00005,     0.00000, 96864.70000
1980-01-14,     192.034,     382.110,      19.715,      85.142,       3.222,     0.00207,     0.00000, 96503.70000
1980-01-15,      69.597,     427.319,      17.743,      97.173,       5.378,     0.03096,     0.00000, 95231.60000
1980-01-16,     257.843,     298.945,      12.706,      84.770,       6.233,     0.02937,     0.00000, 94677.10000
1980-01-17,     280.365,     279.878,      12.257,      74.746,       5.229,     0.01321,     0.00000, 95637.60000
1980-01-18,     236.903,     324.220,      14.928,      71.937,       4.972,     0.00261,     0.00000, 96705.40000
1980-01-19,      93.421,     420.261,      16.534,      89.293,       5.450,     0.00986,     0.00000, 96765.10000
1980-01-20,      91.298,     409.307,      14.628,      94.312,       0.664,     0.03632,     0.00000, 97037.20000
1980-01-21,      56.112,     421.590,      16.763,      99.572,       3.540,     0.05998,     0.00000, 96560.30000
1980-01-22,     226.791,     332.226,      15.482,      78.917,       4.745,     0.02805,     0.00000, 96334.10000
1980-01-23,     182.286,     366.669,      15.209,      80.273,       3.186,     0.00142,     0.00000, 96987.80000
1980-01-24,     214.445,     346.457,      16.772,      82.420,       3.261,     0.00340,     0.00000, 97120.50000
1980-01-25,     336.225,     244.804,      16.796,      75.152,       1.257,     0.00065,     0.00000, 97736.50000
1980-01-26,     332.026,     252.420,      18.767,      81.611,       1.455,     0.00001,     0.00000, 97886.00000
1980-01-27,     271.778,     306.956,      19.725,      81.523,       0.856,     0.00010,     0.00000, 98034.10000
1980-01-28,     253.115,     320.569,      19.298,      84.803,       1.537,     0.00022,     0.00000, 98145.50000
1980-01-29,     294.882,     284.427,      19.591,      81.908,       1.014,     0.00005,     0.00000, 98172.50000
1980-01-30,     241.449,     331.807,      19.815,      80.586,       1.044,     0.00019,     0.00000, 98176.00000
1980-01-31,     310.312,     271.102,      20.363,      81.466,       0.962,     0.00006,     0.00000, 98064.10000
1980-02-01,     323.616,     257.286,      19.829,      76.697,       1.328,     0.00005,     0.00000, 97761.60000
1980-02-02,     305.959,     266.454,      18.034,      77.244,       2.235,     0.00002,     0.00000, 97319.30000
1980-02-03,     305.526,     265.193,      17.799,      75.561,       2.235,     0.00003,     0.00000, 97025.50000
1980-02-04,     200.870,     360.723,      18.983,      80.510,       1.877,     0.00066,     0.00000, 96927.50000
1980-02-05,     265.902,     305.737,      20.116,      78.190,       0.364,     0.00095,     0.00000, 96784.20000
1980-02-06,     286.113,     283.994,      19.341,      75.708,       3.381,     0.00042,     0.00000, 96403.30000
