time,flow,temp,salt,OXY_oxy,PHS_frp,OGM_dop,OGM_pop,PHS_frp_ads,NIT_amm,NIT_nit,OGM_don,OGM_pon,OGM_doc,OGM_poc,SIL_rsi,PHY_cyano,PHY_green,PHY_diatom,NCS_ss1
1980-01-03,0.00156,13.37037,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-04,0.00091,13.19847,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-05,0.00015,13.73623,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-06,0.00128,14.3802,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-07,0.02171,15.05557,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-08,0.02107,15.66207,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-09,0.01533,16.31883,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-10,0.00302,17.4782,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-11,0.02241,17.6285,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-12,0.00949,18.3556,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-13,0.00017,18.31353,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-14,0.00533,19.30003,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-15,0.10108,18.72833,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-16,0.08695,16.5095,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-17,0.04099,13.97417,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-18,0.01009,12.99277,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-19,0.02232,14.2571,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-20,0.10103,14.99837,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-21,0.21027,15.5694,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-22,0.09898,15.27147,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-23,0.00383,15.5113,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-24,0.00923,15.5789,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-25,0.00183,16.04353,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-26,4e-05,17.29493,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-27,0.00031,18.40257,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-28,0.00013,19.42883,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-29,7e-05,19.8882,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-30,0.00045,20.0458,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-31,0.00028,20.39923,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-01,2e-04,20.46253,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-02,5e-05,19.7938,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-03,8e-05,18.74113,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-04,0.00222,18.27357,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-05,0.00262,18.97897,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-06,0.00128,19.61517,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-07,0.00735,19.30913,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-08,0.00576,18.49323,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-09,0.00965,17.9612,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
