time      ,   ShortWave,    LongWave,     AirTemp,      RelHum,   WindSpeed,        Rain,        Snow,     AirPres
1980-01-03,     247.778,     304.990,      13.152,      67.923,       2.817,     0.00044,     0.00000, 96714.10000
1980-01-04,     222.330,     329.569,      13.642,      68.415,       2.916,     0.00026,     0.00000, 97036.00000
1980-01-05,     314.507,     249.071,      14.415,      66.140,       2.077,     0.00004,     0.00000, 97087.70000
1980-01-06,     224.969,     332.826,      15.084,      69.741,       0.524,     0.00036,     0.00000, 96926.80000
1980-01-07,     180.733,     374.711,      15.668,      83.862,       0.979,     0.00617,     0.00000, 97082.00000
1980-01-08,     176.639,     381.020,      16.234,      82.971,       1.078,     0.00599,     0.00000, 97346.60000
1980-01-09,     175.203,     386.387,      17.054,      79.357,       0.765,     0.00435,     0.00000, 97375.00000
1980-01-10,     298.925,     277.407,      19.146,      65.446,       1.386,     0.00086,     0.00000, 96984.80000
1980-01-11,      54.951,     440.498,      16.685,      94.949,       1.146,     0.00636,     0.00000, 96555.40000
1980-01-12,     274.870,     298.747,      19.235,      77.728,       2.776,     0.00270,     0.00000, 96477.70000
1980-01-13,     255.146,     316.944,      19.020,      76.298,       2.780,     0.00005,     0.00000, 96567.80000
1980-01-14,     181.536,     390.568,      19.645,      82.466,       2.149,     0.00151,     0.00000, 96204.20000
1980-01-15,      56.076,     445.597,      17.520,      97.939,       3.286,     0.02871,     0.00000, 94920.90000
1980-01-16,     225.378,     316.544,      12.364,      85.696,       3.703,     0.02470,     0.00000, 94353.50000
1980-01-17,     238.959,     303.087,      12.039,      75.439,       2.903,     0.01164,     0.00000, 95323.00000
1980-01-18,     202.427,     346.842,      14.576,      73.368,       3.167,     0.00287,     0.00000, 96390.20000
1980-01-19,      67.249,     437.293,      16.157,      90.707,       3.311,     0.00634,     0.00000, 96446.60000
1980-01-20,      86.800,     425.953,      14.262,      93.188,       0.621,     0.02870,     0.00000, 96744.80000
1980-01-21,      44.441,     438.097,      16.289,      99.724,       1.883,     0.05973,     0.00000, 96267.70000
1980-01-22,     200.047,     349.683,      15.263,      79.401,       2.966,     0.02812,     0.00000, 96018.20000
1980-01-23,     149.488,     395.633,      14.982,      80.667,       2.055,     0.00109,     0.00000, 96686.00000
1980-01-24,     183.907,     369.308,      16.492,      82.310,       2.095,     0.00262,     0.00000, 96817.80000
1980-01-25,     302.378,     254.948,      16.657,      73.467,       0.840,     0.00052,     0.00000, 97438.00000
1980-01-26,     298.505,     263.487,      18.736,      79.539,       1.064,     0.00001,     0.00000, 97589.50000
1980-01-27,     252.308,     312.871,      19.815,      79.870,       0.632,     0.00009,     0.00000, 97740.20000
1980-01-28,     227.991,     336.280,      19.735,      82.653,       0.901,     0.00004,     0.00000, 97850.90000
1980-01-29,     255.131,     309.076,      20.114,      80.637,       0.666,     0.00002,     0.00000, 97874.90000
1980-01-30,     214.410,     351.511,      20.288,      78.239,       0.609,     0.00013,     0.00000, 97878.60000
1980-01-31,     276.601,     287.111,      20.796,      78.652,       0.591,     0.00008,     0.00000, 97768.50000
1980-02-01,     291.167,     269.908,      20.304,      73.925,       0.776,     0.00006,     0.00000, 97462.80000
1980-02-02,     274.740,     279.335,      18.282,      75.218,       1.260,     0.00001,     0.00000, 97017.40000
1980-02-03,     281.571,     269.200,      17.638,      74.439,       1.438,     0.00002,     0.00000, 96726.60000
1980-02-04,     165.496,     392.309,      18.901,      79.469,       1.170,     0.00063,     0.00000, 96635.50000
1980-02-05,     231.373,     328.641,      20.398,      76.255,       0.160,     0.00074,     0.00000, 96497.80000
1980-02-06,     256.442,     297.977,      19.546,      74.692,       2.056,     0.00036,     0.00000, 96104.50000
1980-02-07,     138.003,     414.269,      17.983,      80.172,       0.674,     0.00209,     0.00000, 96708.30000
1980-02-08,     279.770,     265.446,      17.950,      76.050,       1.232,     0.00164,     0.00000, 96901.90000
1980-02-09,     126.918,     423.751,      17.950,      85.713,       1.667,     0.00274,     0.00000, 96654.00000
1980-02-10,     255.893,     276.233,      14.423,      64.803,       2.593,     0.00263,     0.00000, 96884.40000
1980-02-11,     199.493,     331.893,      14.259,      58.492,       2.720,     0.00002,     0.00000, 97725.20000
1980-02-12,     176.987,     355.180,      14.686,      68.313,       3.303,     0.00092,     0.00000, 97970.20000
1980-02-13,      79.491,     432.807,      15.412,      91.325,       3.007,     0.01541,     0.00000, 97674.70000
1980-02-14,      87.380,     437.402,      16.174,      78.393,       2.923,     0.00212,     0.00000, 97600.60000
1980-02-15,     158.070,     377.269,      16.164,      71.552,       2.810,     0.00014,     0.00000, 97570.80000
1980-02-16,     196.610,     339.623,      17.392,      76.288,       2.615,     0.00051,     0.00000, 97279.50000
1980-02-17,     133.521,     402.608,      16.486,      81.751,       1.012,     0.00255,     0.00000, 96841.00000
1980-02-18,     204.646,     325.394,      16.854,      84.629,       0.258,     0.00840,     0.00000, 96565.70000
1980-02-19,     224.916,     303.431,      17.029,      74.514,       0.844,     0.00667,     0.00000, 96426.30000
1980-02-20,     126.294,     404.693,      15.813,      81.636,       3.273,     0.00098,     0.00000, 95935.50000
1980-02-21,     136.566,     388.108,      14.922,      82.689,       2.123,     0.00302,     0.00000, 96019.60000
1980-02-22,     167.548,     359.102,      16.160,      80.015,       2.745,     0.00624,     0.00000, 95764.70000
1980-02-23,     167.037,     349.989,      14.085,      70.320,       0.767,     0.00007,     0.00000, 96636.90000
1980-02-24,     123.268,     398.883,      14.809,      89.302,       2.845,     0.00619,     0.00000, 96844.60000
1980-02-25,     187.950,     322.881,      13.831,      80.160,       3.451,     0.00496,     0.00000, 96011.70000
1980-02-26,     168.587,     347.948,      14.834,      72.142,       3.101,     0.00124,     0.00000, 96100.30000
1980-02-27,     229.842,     278.753,      15.165,      71.224,       1.729,     0.00008,     0.00000, 96660.30000
1980-02-28,     151.735,     361.467,      14.274,      78.005,       0.603,     0.00205,     0.00000, 96537.70000
1980-02-29,      57.554,     420.630,      13.360,      98.075,       3.194,     0.01847,     0.00000, 95847.70000
1980-03-01,      66.095,     430.950,      15.102,      93.473,       1.939,     0.01174,     0.00000, 95188.80000
1980-03-02,     173.672,     339.150,      15.836,      77.859,       2.655,     0.00125,     0.00000, 96200.70000
1980-03-03,     185.229,     320.654,      14.972,      75.708,       2.801,     0.00060,     0.00000, 96903.20000
1980-03-04,     123.958,     391.856,      15.092,      76.177,       2.554,     0.00056,     0.00000, 97290.70000
1980-03-05,     166.770,     337.213,      14.421,      71.775,       2.813,     0.00041,     0.00000, 97580.70000
1980-03-06,     154.624,     348.156,      14.057,      76.458,       3.097,     0.00176,     0.00000, 97464.90000
1980-03-07,     175.526,     325.467,      14.901,      73.500,       2.698,     0.00213,     0.00000, 97309.80000
1980-03-08,     284.477,     310.485,      14.957,      73.139,       0.788,     0.00030,     0.00000, 97065.80000
1980-03-09,     195.613,     298.757,      15.322,      76.070,       1.336,     0.00028,     0.00000, 96787.30000
1980-03-10,     156.714,     345.105,      15.493,      84.189,       1.254,     0.00229,     0.00000, 96604.30000
1980-03-11,     130.009,     373.611,      14.882,      89.726,       1.779,     0.01503,     0.00000, 96045.40000
1980-03-12,     197.932,     283.731,      13.592,      69.595,       1.708,     0.01047,     0.00000, 96464.40000
1980-03-13,     244.132,     220.568,      12.465,      70.646,       1.351,     0.00021,     0.00000, 97150.50000
1980-03-14,      23.806,     411.226,      11.745,      93.015,       2.059,     0.05242,     0.00000, 95437.60000
1980-03-15,     149.020,     340.227,      13.979,      80.819,       4.262,     0.04167,     0.00000, 95250.10000
1980-03-16,     151.503,     323.838,      11.169,      70.877,       4.140,     0.00221,     0.00000, 95491.40000
1980-03-17,     198.782,     258.170,       9.861,      66.518,       1.997,     0.00168,     0.00000, 96338.90000
