time      ,   ShortWave,    LongWave,     AirTemp,      RelHum,   WindSpeed,        Rain,        Snow,     AirPres
1980-01-03,     233.347,     332.592,      14.179,      65.662,       3.730,     0.00039,     0.00000, 97564.00000
1980-01-04,     206.599,     367.390,      14.834,      66.235,       4.091,     0.00030,     0.00000, 97880.50000
1980-01-05,     277.717,     282.443,      15.144,      65.293,       2.556,     0.00003,     0.00000, 97949.00000
1980-01-06,     210.290,     363.569,      15.157,      70.310,       0.077,     0.00015,     0.00000, 97808.70000
1980-01-07,     167.323,     417.605,      15.841,      84.314,       1.842,     0.00553,     0.00000, 97978.80000
1980-01-08,     162.475,     427.555,      16.582,      80.727,       1.853,     0.00487,     0.00000, 98243.30000
1980-01-09,     171.494,     419.831,      17.269,      78.955,       1.219,     0.00233,     0.00000, 98259.40000
1980-01-10,     261.981,     314.374,      19.210,      69.469,       1.487,     0.00049,     0.00000, 97850.60000
1980-01-11,      59.000,     510.301,      17.440,      94.658,       1.603,     0.00760,     0.00000, 97434.50000
1980-01-12,     246.779,     336.422,      20.374,      75.265,       3.745,     0.00325,     0.00000, 97313.50000
1980-01-13,     234.064,     352.490,      20.263,      72.922,       3.912,     0.00003,     0.00000, 97391.10000
1980-01-14,     175.642,     428.550,      20.481,      80.600,       2.796,     0.00104,     0.00000, 97057.20000
1980-01-15,      56.668,     515.530,      18.182,      96.042,       4.937,     0.02190,     0.00000, 95831.60000
1980-01-16,     210.058,     352.462,      13.747,      77.841,       5.673,     0.01500,     0.00000, 95251.90000
1980-01-17,     212.262,     346.643,      13.078,      70.302,       4.361,     0.00622,     0.00000, 96197.50000
1980-01-18,     196.148,     377.341,      15.534,      69.938,       4.251,     0.00168,     0.00000, 97282.20000
1980-01-19,      84.818,     507.998,      17.112,      87.103,       5.170,     0.00609,     0.00000, 97366.30000
1980-01-20,      66.526,     493.730,      15.052,      93.256,       0.692,     0.03126,     0.00000, 97629.30000
1980-01-21,      44.583,     508.337,      17.160,      98.191,       3.539,     0.06015,     0.00000, 97179.20000
1980-01-22,     178.289,     400.006,      16.234,      77.969,       4.154,     0.03611,     0.00000, 96915.40000
1980-01-23,     146.699,     435.035,      15.466,      80.532,       2.963,     0.00069,     0.00000, 97589.00000
1980-01-24,     168.828,     416.193,      17.417,      82.922,       3.100,     0.00229,     0.00000, 97708.40000
1980-01-25,     263.199,     291.836,      16.902,      76.683,       1.071,     0.00061,     0.00000, 98323.90000
1980-01-26,     257.457,     303.079,      18.666,      85.400,       1.210,     0.00001,     0.00000, 98483.40000
1980-01-27,     221.217,     355.272,      19.915,      84.346,       1.042,     0.00014,     0.00000, 98624.80000
1980-01-28,     193.135,     389.420,      19.344,      87.508,       1.255,     0.00019,     0.00000, 98747.10000
1980-01-29,     226.209,     345.125,      19.609,      85.021,       0.988,     0.00005,     0.00000, 98768.30000
1980-01-30,     188.302,     396.758,      19.774,      83.311,       1.270,     0.00016,     0.00000, 98769.70000
1980-01-31,     234.083,     334.926,      20.368,      84.185,       1.283,     0.00011,     0.00000, 98659.00000
1980-02-01,     249.580,     313.678,      20.573,      79.663,       1.050,     0.00007,     0.00000, 98340.40000
1980-02-02,     242.376,     318.084,      19.237,      77.668,       1.546,     0.00009,     0.00000, 97887.80000
1980-02-03,     241.780,     314.375,      18.322,      77.044,       2.089,     0.00000,     0.00000, 97606.10000
1980-02-04,     156.233,     433.403,      19.170,      82.497,       1.699,     0.00064,     0.00000, 97513.30000
1980-02-05,     211.646,     360.964,      20.400,      79.580,       0.029,     0.00059,     0.00000, 97358.60000
1980-02-06,     231.571,     333.174,      20.560,      72.793,       2.626,     0.00017,     0.00000, 96950.60000
1980-02-07,     137.913,     454.884,      18.809,      77.923,       0.530,     0.00137,     0.00000, 97574.70000
1980-02-08,     243.049,     305.427,      18.363,      77.224,       1.225,     0.00121,     0.00000, 97785.60000
1980-02-09,     135.709,     455.845,      18.939,      85.050,       2.368,     0.00205,     0.00000, 97534.30000
1980-02-10,     227.643,     315.350,      15.826,      61.374,       3.560,     0.00169,     0.00000, 97739.20000
1980-02-11,     181.692,     374.862,      15.380,      55.581,       4.198,     0.00001,     0.00000, 98589.90000
1980-02-12,     154.899,     409.261,      15.731,      66.277,       4.977,     0.00115,     0.00000, 98839.70000
1980-02-13,      69.373,     502.978,      16.392,      88.179,       4.688,     0.01919,     0.00000, 98561.50000
1980-02-14,      76.683,     507.071,      16.979,      76.918,       4.318,     0.00271,     0.00000, 98481.20000
1980-02-15,     144.407,     426.315,      16.860,      71.444,       3.623,     0.00021,     0.00000, 98443.10000
1980-02-16,     177.468,     381.631,      17.830,      77.982,       3.665,     0.00108,     0.00000, 98147.20000
1980-02-17,     117.733,     462.068,      17.010,      82.368,       1.743,     0.00394,     0.00000, 97703.80000
1980-02-18,     186.835,     361.778,      17.262,      84.800,       0.252,     0.00749,     0.00000, 97434.80000
1980-02-19,     204.080,     337.013,      17.547,      77.966,       0.937,     0.00589,     0.00000, 97292.10000
1980-02-20,     126.078,     447.203,      16.964,      78.292,       4.412,     0.00092,     0.00000, 96789.90000
1980-02-21,     128.340,     437.679,      16.051,      79.191,       2.908,     0.00264,     0.00000, 96888.00000
1980-02-22,     130.150,     439.878,      17.137,      78.518,       4.083,     0.00502,     0.00000, 96636.10000
1980-02-23,     164.648,     379.199,      15.267,      68.409,       0.872,     0.00059,     0.00000, 97501.40000
1980-02-24,     106.973,     462.630,      15.636,      86.675,       4.349,     0.00744,     0.00000, 97755.70000
1980-02-25,     171.344,     364.520,      15.036,      76.292,       5.016,     0.00585,     0.00000, 96900.70000
1980-02-26,     151.574,     396.304,      15.734,      69.326,       4.246,     0.00035,     0.00000, 96967.90000
1980-02-27,     201.449,     318.876,      15.578,      70.935,       2.038,     0.00003,     0.00000, 97519.70000
1980-02-28,     136.447,     409.267,      14.584,      78.667,       1.408,     0.00253,     0.00000, 97420.40000
1980-02-29,      56.641,     488.219,      14.244,      96.194,       4.905,     0.03074,     0.00000, 96751.70000
1980-03-01,      66.203,     500.721,      16.066,      89.821,       3.914,     0.01707,     0.00000, 96062.80000
