time      ,   ShortWave,    LongWave,     AirTemp,      RelHum,   WindSpeed,        Rain,        Snow,     AirPres
1980-01-03,     284.691,     269.017,      13.654,      68.052,       3.720,     0.00045,     0.00000, 97063.50000
1980-01-04,     254.666,     292.073,      14.173,      68.543,       3.802,     0.00025,     0.00000, 97382.50000
1980-01-05,     356.588,     221.203,      14.924,      66.092,       2.624,     0.00002,     0.00000, 97436.10000
1980-01-06,     251.985,     298.369,      15.445,      69.644,       0.630,     0.00031,     0.00000, 97284.40000
1980-01-07,     209.135,     329.450,      15.781,      86.188,       1.419,     0.00805,     0.00000, 97443.60000
1980-01-08,     202.803,     336.363,      16.324,      83.412,       1.543,     0.00704,     0.00000, 97709.30000
1980-01-09,     205.188,     338.450,      17.209,      79.094,       0.974,     0.00441,     0.00000, 97734.90000
1980-01-10,     337.247,     246.837,      19.385,      65.992,       1.830,     0.00096,     0.00000, 97341.00000
1980-01-11,      64.310,     393.493,      16.985,      95.431,       1.390,     0.00718,     0.00000, 96915.80000
1980-01-12,     309.577,     265.769,      19.338,      79.104,       3.741,     0.00315,     0.00000, 96830.00000
1980-01-13,     288.899,     281.072,      19.176,      76.963,       3.835,     0.00007,     0.00000, 96916.80000
1980-01-14,     203.856,     348.312,      19.806,      83.880,       2.893,     0.00167,     0.00000, 96558.00000
1980-01-15,      65.038,     398.359,      17.878,      97.459,       4.215,     0.03067,     0.00000, 95287.40000
1980-01-16,     259.146,     278.893,      12.697,      86.560,       4.869,     0.02962,     0.00000, 94724.10000
1980-01-17,     274.339,     266.963,      12.368,      76.429,       3.970,     0.01426,     0.00000, 95686.10000
1980-01-18,     235.218,     305.027,      15.059,      73.538,       4.122,     0.00322,     0.00000, 96758.40000
1980-01-19,      85.699,     391.188,      16.559,      90.307,       4.324,     0.00725,     0.00000, 96820.00000
1980-01-20,      92.529,     379.617,      14.393,      94.381,       0.669,     0.03432,     0.00000, 97106.70000
1980-01-21,      52.313,     392.254,      16.756,      99.270,       2.680,     0.06191,     0.00000, 96630.20000
1980-01-22,     225.683,     311.826,      15.561,      80.190,       3.730,     0.02946,     0.00000, 96386.90000
1980-01-23,     172.701,     349.879,      15.268,      81.249,       2.597,     0.00124,     0.00000, 97052.80000
1980-01-24,     209.857,     327.512,      16.790,      83.013,       2.692,     0.00325,     0.00000, 97182.10000
1980-01-25,     339.804,     228.067,      16.949,      73.615,       1.055,     0.00062,     0.00000, 97799.70000
1980-01-26,     334.920,     235.318,      18.825,      81.330,       1.335,     0.00001,     0.00000, 97951.80000
1980-01-27,     280.092,     282.145,      20.032,      80.393,       0.791,     0.00012,     0.00000, 98098.30000
1980-01-28,     253.578,     301.287,      19.692,      84.420,       1.258,     0.00006,     0.00000, 98212.50000
1980-01-29,     290.846,     271.260,      19.915,      81.653,       0.902,     0.00001,     0.00000, 98236.40000
1980-01-30,     238.627,     314.837,      20.282,      79.150,       0.838,     0.00015,     0.00000, 98238.40000
1980-01-31,     309.830,     256.892,      20.941,      80.171,       0.834,     0.00011,     0.00000, 98126.70000
1980-02-01,     326.431,     241.247,      20.380,      75.493,       0.941,     0.00007,     0.00000, 97820.40000
1980-02-02,     309.097,     248.912,      18.400,      76.377,       1.677,     0.00002,     0.00000, 97375.30000
1980-02-03,     313.910,     242.544,      17.866,      75.593,       1.842,     0.00001,     0.00000, 97086.30000
1980-02-04,     190.715,     346.439,      19.171,      80.123,       1.513,     0.00067,     0.00000, 96991.90000
1980-02-05,     263.476,     290.594,      20.647,      76.835,       0.253,     0.00083,     0.00000, 96848.40000
1980-02-06,     289.544,     265.470,      19.933,      75.528,       2.760,     0.00036,     0.00000, 96457.40000
1980-02-07,     162.506,     364.153,      18.327,      80.635,       0.764,     0.00203,     0.00000, 97059.60000
1980-02-08,     313.372,     238.079,      18.196,      77.153,       1.655,     0.00181,     0.00000, 97260.50000
1980-02-09,     150.801,     371.982,      18.301,      85.845,       2.186,     0.00274,     0.00000, 97012.20000
1980-02-10,     286.728,     248.313,      14.877,      65.998,       3.510,     0.00259,     0.00000, 97239.50000
1980-02-11,     227.628,     295.124,      14.844,      59.051,       3.493,     0.00002,     0.00000, 98071.60000
1980-02-12,     200.686,     316.629,      15.144,      69.804,       4.235,     0.00114,     0.00000, 98315.90000
1980-02-13,      88.303,     386.908,      15.764,      91.254,       4.050,     0.01630,     0.00000, 98026.30000
1980-02-14,      94.079,     390.631,      16.456,      79.579,       3.745,     0.00228,     0.00000, 97949.60000
1980-02-15,     183.667,     332.182,      16.498,      72.410,       3.607,     0.00019,     0.00000, 97919.00000
1980-02-16,     224.045,     300.038,      17.497,      78.599,       3.471,     0.00060,     0.00000, 97628.10000
1980-02-17,     142.708,     365.657,      16.701,      82.338,       1.448,     0.00288,     0.00000, 97191.90000
1980-02-18,     232.398,     288.429,      17.081,      86.416,       0.211,     0.01086,     0.00000, 96920.80000
1980-02-19,     252.930,     271.649,      17.490,      76.165,       1.101,     0.00925,     0.00000, 96780.00000
1980-02-20,     148.160,     356.449,      16.181,      82.862,       4.357,     0.00114,     0.00000, 96293.60000
1980-02-21,     155.022,     345.824,      15.298,      83.305,       2.861,     0.00348,     0.00000, 96379.10000
1980-02-22,     180.101,     327.840,      16.387,      81.344,       3.569,     0.00694,     0.00000, 96127.30000
1980-02-23,     196.629,     305.879,      14.539,      70.013,       1.064,     0.00012,     0.00000, 96992.10000
1980-02-24,     140.888,     354.070,      15.061,      90.827,       3.729,     0.00755,     0.00000, 97213.60000
1980-02-25,     212.978,     287.154,      14.128,      81.495,       4.444,     0.00544,     0.00000, 96381.80000
