time      ,   ShortWave,    LongWave,     AirTemp,      RelHum,   WindSpeed,        Rain,        Snow,     AirPres
1980-01-03,     250.720,     350.490,      14.314,      65.964,       4.086,     0.00037,     0.00000, 97815.70000
1980-01-04,     223.978,     382.990,      14.853,      66.587,       4.372,     0.00028,     0.00000, 98132.80000
1980-01-05,     304.167,     293.581,      15.367,      65.731,       2.747,     0.00003,     0.00000, 98196.50000
1980-01-06,     222.505,     387.619,      15.628,      70.283,       0.241,     0.00024,     0.00000, 98052.20000
1980-01-07,     184.004,     432.075,      16.035,      85.944,       1.965,     0.00762,     0.00000, 98217.30000
1980-01-08,     178.115,     442.685,      16.690,      81.340,       1.955,     0.00559,     0.00000, 98483.70000
1980-01-09,     186.586,     436.688,      17.423,      78.995,       1.228,     0.00283,     0.00000, 98502.50000
1980-01-10,     286.783,     327.422,      19.561,      68.293,       1.839,     0.00064,     0.00000, 98093.90000
1980-01-11,      62.464,     527.766,      17.496,      94.582,       1.725,     0.00756,     0.00000, 97674.70000
1980-01-12,     267.832,     350.248,      20.100,      76.394,       4.210,     0.00327,     0.00000, 97564.30000
1980-01-13,     252.534,     368.191,      19.938,      74.190,       4.415,     0.00005,     0.00000, 97644.80000
1980-01-14,     183.459,     453.552,      20.348,      82.198,       3.111,     0.00120,     0.00000, 97300.80000
1980-01-15,      61.060,     532.963,      18.209,      96.481,       5.177,     0.02470,     0.00000, 96056.60000
1980-01-16,     227.006,     367.486,      13.596,      80.307,       6.012,     0.02016,     0.00000, 95489.70000
1980-01-17,     235.191,     355.698,      13.072,      72.064,       4.823,     0.00911,     0.00000, 96444.80000
1980-01-18,     211.347,     395.335,      15.678,      70.564,       4.676,     0.00225,     0.00000, 97525.50000
1980-01-19,      88.588,     525.379,      17.167,      87.613,       5.344,     0.00564,     0.00000, 97599.40000
1980-01-20,      74.333,     509.656,      14.970,      93.902,       0.722,     0.03248,     0.00000, 97872.90000
1980-01-21,      48.379,     525.179,      17.140,      98.999,       3.607,     0.06112,     0.00000, 97407.30000
1980-01-22,     194.270,     414.885,      16.189,      78.277,       4.406,     0.03379,     0.00000, 97155.40000
1980-01-23,     158.496,     453.772,      15.671,      80.719,       3.132,     0.00081,     0.00000, 97827.90000
1980-01-24,     184.170,     431.489,      17.393,      82.485,       3.243,     0.00275,     0.00000, 97948.80000
1980-01-25,     288.493,     303.082,      17.134,      76.125,       1.193,     0.00065,     0.00000, 98568.10000
1980-01-26,     282.954,     313.679,      18.869,      84.557,       1.368,     0.00001,     0.00000, 98723.00000
1980-01-27,     239.357,     372.482,      20.074,      83.323,       1.021,     0.00015,     0.00000, 98863.70000
1980-01-28,     213.307,     401.656,      19.507,      87.012,       1.408,     0.00025,     0.00000, 98985.60000
1980-01-29,     249.717,     355.730,      19.773,      84.084,       1.047,     0.00006,     0.00000, 99008.30000
1980-01-30,     205.723,     412.371,      19.970,      82.629,       1.274,     0.00013,     0.00000, 99008.40000
1980-01-31,     259.567,     344.118,      20.705,      83.548,       1.245,     0.00014,     0.00000, 98894.70000
1980-02-01,     275.211,     322.866,      20.571,      78.294,       1.061,     0.00007,     0.00000, 98579.10000
1980-02-02,     264.860,     329.323,      18.924,      76.751,       1.865,     0.00004,     0.00000, 98130.90000
1980-02-03,     264.256,     326.490,      18.325,      76.722,       2.193,     0.00000,     0.00000, 97846.60000
1980-02-04,     170.544,     450.609,      19.413,      81.626,       1.815,     0.00062,     0.00000, 97750.30000
1980-02-05,     230.326,     376.833,      20.638,      79.094,       0.142,     0.00063,     0.00000, 97597.20000
1980-02-06,     250.880,     348.353,      20.489,      73.887,       3.049,     0.00021,     0.00000, 97195.20000
1980-02-07,     148.808,     473.719,      18.872,      78.998,       0.670,     0.00160,     0.00000, 97814.10000
1980-02-08,     265.766,     317.398,      18.462,      77.432,       1.566,     0.00145,     0.00000, 98025.20000
1980-02-09,     143.286,     478.308,      18.875,      84.959,       2.566,     0.00208,     0.00000, 97772.10000
1980-02-10,     247.300,     328.759,      15.722,      62.838,       4.038,     0.00185,     0.00000, 97990.90000
1980-02-11,     197.896,     390.008,      15.499,      56.477,       4.370,     0.00002,     0.00000, 98834.70000
1980-02-12,     170.597,     422.238,      15.756,      67.492,       5.275,     0.00130,     0.00000, 99081.80000
1980-02-13,      74.938,     518.962,      16.277,      89.716,       5.069,     0.01803,     0.00000, 98798.40000
1980-02-14,      79.982,     523.603,      16.922,      78.672,       4.657,     0.00295,     0.00000, 98718.60000
1980-02-15,     159.881,     439.119,      16.944,      72.161,       4.021,     0.00024,     0.00000, 98683.70000
1980-02-16,     193.532,     396.182,      17.861,      78.717,       4.097,     0.00113,     0.00000, 98386.90000
1980-02-17,     121.469,     488.554,      17.102,      82.770,       1.933,     0.00377,     0.00000, 97946.40000
1980-02-18,     201.751,     378.456,      17.311,      86.340,       0.265,     0.00994,     0.00000, 97677.70000
1980-02-19,     219.442,     355.699,      17.808,      78.054,       1.105,     0.00894,     0.00000, 97534.20000
1980-02-20,     135.040,     465.816,      16.831,      79.911,       4.922,     0.00123,     0.00000, 97038.60000
1980-02-21,     136.370,     458.144,      16.018,      80.562,       3.284,     0.00280,     0.00000, 97133.10000
1980-02-22,     144.809,     451.021,      17.006,      79.465,       4.348,     0.00523,     0.00000, 96880.60000
1980-02-23,     178.068,     395.088,      15.199,      69.812,       1.083,     0.00042,     0.00000, 97749.60000
1980-02-24,     120.338,     474.034,      15.665,      88.381,       4.599,     0.00792,     0.00000, 97993.00000
1980-02-25,     185.715,     379.316,      14.921,      77.769,       5.338,     0.00502,     0.00000, 97146.60000
1980-02-26,     166.409,     409.264,      15.715,      70.971,       4.724,     0.00048,     0.00000, 97216.20000
1980-02-27,     221.120,     331.295,      16.012,      71.697,       2.458,     0.00002,     0.00000, 97769.80000
1980-02-28,     149.106,     425.269,      14.862,      79.950,       1.374,     0.00233,     0.00000, 97661.70000
1980-02-29,      62.536,     504.681,      14.264,      97.580,       5.243,     0.03058,     0.00000, 96977.90000
1980-03-01,      68.902,     516.443,      15.925,      90.306,       4.048,     0.01597,     0.00000, 96303.30000
1980-03-02,     176.871,     390.881,      16.867,      75.425,       4.139,     0.00064,     0.00000, 97281.50000
1980-03-03,     190.507,     364.540,      15.935,      74.558,       4.147,     0.00054,     0.00000, 97994.10000
1980-03-04,     127.737,     455.806,      15.996,      75.231,       3.963,     0.00054,     0.00000, 98394.10000
1980-03-05,     166.701,     393.240,      15.330,      70.820,       4.416,     0.00046,     0.00000, 98682.60000
1980-03-06,     148.202,     415.840,      14.838,      76.281,       4.739,     0.00308,     0.00000, 98562.80000
1980-03-07,     182.964,     366.656,      15.766,      73.226,       4.143,     0.00399,     0.00000, 98410.70000
1980-03-08,     191.682,     350.574,      15.661,      74.261,       0.885,     0.00029,     0.00000, 98180.30000
1980-03-09,     195.155,     345.277,      16.270,      75.842,       2.062,     0.00028,     0.00000, 97901.60000
1980-03-10,     155.432,     403.014,      16.126,      85.148,       1.851,     0.00204,     0.00000, 97726.30000
1980-03-11,     135.789,     429.673,      15.847,      90.850,       2.876,     0.01404,     0.00000, 97168.40000
1980-03-12,     193.283,     334.160,      14.608,      69.041,       2.231,     0.00956,     0.00000, 97577.00000
1980-03-13,     135.335,     414.709,      13.209,      71.198,       2.282,     0.00019,     0.00000, 98285.50000
1980-03-14,      29.480,     495.512,      12.950,      91.333,       3.538,     0.05992,     0.00000, 96496.40000
1980-03-15,     147.307,     400.607,      14.986,      78.668,       6.317,     0.04714,     0.00000, 96370.70000
