time,flow,temp,salt,OXY_oxy,PHS_frp,OGM_dop,OGM_pop,PHS_frp_ads,NIT_amm,NIT_nit,OGM_don,OGM_pon,OGM_doc,OGM_poc,SIL_rsi,PHY_cyano,PHY_green,PHY_diatom,NCS_ss1
1980-01-03,0.01735,13.78607,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-04,0.00985,13.68567,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-05,0.00081,14.25047,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-06,0.01194,14.8474,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-07,0.3132,15.38343,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-08,0.27382,15.85,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-09,0.17157,16.4379,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-10,0.03736,17.63947,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-11,0.27931,17.85987,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-12,0.12234,18.5697,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-13,0.00266,18.49977,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-14,0.06488,19.43997,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-15,1.19276,18.95313,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-16,1.15185,16.79363,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-17,0.55434,14.3142,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-18,0.12517,13.37467,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-19,0.28181,14.66203,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-20,1.33439,15.3371,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-21,2.40723,15.90283,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-22,1.14571,15.57013,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-23,0.04802,15.86203,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-24,0.12654,15.87317,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-25,0.02397,16.3357,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-26,0.00048,17.52133,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-27,0.00468,18.6021,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-28,0.0025,19.51657,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-29,4e-04,19.8799,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-30,0.00565,19.9632,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-31,0.00431,20.3795,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-01,0.00256,20.53427,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-02,7e-04,19.90693,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-03,0.00058,18.8821,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-04,0.02592,18.47933,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-05,0.03231,19.22833,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-06,0.01395,19.91703,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-07,0.07881,19.63547,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-08,0.07033,18.81837,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-09,0.10636,18.27437,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-10,0.10078,17.12447,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-11,0.00093,16.00733,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-12,0.04429,14.95517,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-13,0.63363,15.25073,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-14,0.08869,15.78797,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-15,0.00732,16.2393,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-16,0.02336,16.81693,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-17,0.11194,16.8984,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-18,0.4223,17.09283,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-19,0.35965,17.0907,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-20,0.0444,16.91767,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-21,0.13519,16.3233,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-22,0.27003,15.95567,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-23,0.00465,15.4082,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-24,0.29374,15.3291,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-25,0.21156,14.57607,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-26,0.03975,14.766,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-27,0.00314,14.9374,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-28,0.08799,15.10123,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-29,0.93556,14.68777,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-01,0.54535,14.59717,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-02,0.03336,15.11107,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-03,0.0206,15.61597,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-04,0.02161,15.67343,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-05,0.01979,15.22243,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-06,0.09138,14.88823,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-07,0.11711,14.79583,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-08,0.01655,14.9777,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-09,0.01493,15.4386,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-10,0.10475,15.64453,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-11,0.65239,15.61697,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-12,0.44006,15.05107,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-13,0.00743,14.0466,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-14,2.14289,13.09107,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-15,1.72147,13.1649,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-16,0.08091,12.76283,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-17,0.06011,12.08627,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-18,0.01607,11.72053,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-19,0.01351,12.98453,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-20,0.00979,13.63,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-21,0.00581,13.01003,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-22,0.02168,12.3536,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-23,0.07334,12.83827,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-24,0.10799,13.74653,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-25,0.04383,13.6842,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-26,0.01567,13.56763,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-27,0.01263,13.43103,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-28,0.07962,13.87463,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-29,0.03546,14.57443,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-30,0.62375,15.2437,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-03-31,0.76807,14.18983,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-01,0.72413,12.9316,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-02,0.74777,11.08853,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-03,0.10421,10.75763,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-04,0.00319,10.44247,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-05,0.10064,10.83933,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-06,0.42051,11.76067,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-07,0.9037,12.6221,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-08,1.76518,13.198,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-09,0.44081,12.8853,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-10,0.09348,12.44393,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-11,0.04239,11.89873,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-12,0.01478,11.56353,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-13,0.01711,11.34993,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-14,0.00202,11.5542,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-15,0.00303,11.8671,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-16,0.00389,12.217,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-17,0,12.00297,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-18,0,11.48537,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-19,8e-05,10.68457,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-20,0,10.50753,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-21,0,10.98573,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-22,0.00023,11.33993,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-23,7e-04,11.69137,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-24,0.00039,12.42587,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-25,0.00404,13.31673,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-04-26,0.64776,14.09947,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
