time,flow,temp,salt,OXY_oxy,PHS_frp,OGM_dop,OGM_pop,PHS_frp_ads,NIT_amm,NIT_nit,OGM_don,OGM_pon,OGM_doc,OGM_poc,SIL_rsi,PHY_cyano,PHY_green,PHY_diatom,NCS_ss1
1980-01-03,0.03578,14.55597,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-04,0.02813,14.36957,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-05,0.00306,14.7189,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-06,0.01378,15.04503,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-07,0.50932,15.3808,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-08,0.44886,15.86,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-09,0.21525,16.56397,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-10,0.04496,17.6868,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-11,0.70026,17.97293,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-12,0.29943,19.00777,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-13,0.00287,19.3589,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-14,0.09547,20.37253,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-15,2.01909,19.64187,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-16,1.38235,17.46973,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-17,0.57341,15.00207,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-18,0.15517,14.11943,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-19,0.56174,15.2411,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-20,2.88218,15.899,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-21,5.54509,16.44117,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-22,3.32912,16.1487,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-23,0.06371,16.28663,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-24,0.21161,16.3724,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-25,0.05606,16.59503,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-26,0.00077,17.6619,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-27,0.01301,18.49437,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-28,0.01798,19.3084,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-29,0.0044,19.62263,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-30,0.01454,19.5757,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-01-31,0.01002,19.91683,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-01,0.00661,20.23817,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-02,0.00799,20.05923,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-03,0.00028,19.37733,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-04,0.05898,18.90977,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-05,0.05457,19.29733,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-06,0.01543,20.0434,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-07,0.12594,19.923,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-08,0.11161,19.24393,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-09,0.18878,18.70363,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-10,0.15598,17.7095,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-11,0.00138,16.71523,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-12,0.1061,15.64567,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
1980-02-13,1.76899,15.83413,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,5
