time      ,   ShortWave,    LongWave,     AirTemp,      RelHum,   WindSpeed,        Rain,        Snow,     AirPres
1980-01-03,     260.174,     330.865,      14.179,      65.662,       4.502,     0.00039,     0.00000, 97564.00000
1980-01-04,     230.351,     365.487,      14.834,      66.235,       4.938,     0.00030,     0.00000, 97880.50000
1980-01-05,     309.645,     280.967,      15.144,      65.293,       3.085,     0.00003,     0.00000, 97949.00000
1980-01-06,     234.467,     361.686,      15.157,      70.310,       0.093,     0.00015,     0.00000, 97808.70000
1980-01-07,     186.559,     415.448,      15.841,      84.314,       2.224,     0.00553,     0.00000, 97978.80000
1980-01-08,     181.155,     425.349,      16.582,      80.727,       2.236,     0.00487,     0.00000, 98243.30000
1980-01-09,     191.210,     417.664,      17.269,      78.955,       1.471,     0.00233,     0.00000, 98259.40000
1980-01-10,     292.100,     312.732,      19.210,      69.469,       1.795,     0.00049,     0.00000, 97850.60000
1980-01-11,      65.783,     507.693,      17.440,      94.658,       1.935,     0.00760,     0.00000, 97434.50000
1980-01-12,     275.150,     334.668,      20.374,      75.265,       4.520,     0.00325,     0.00000, 97313.50000
1980-01-13,     260.973,     350.658,      20.263,      72.922,       4.722,     0.00003,     0.00000, 97391.10000
1980-01-14,     195.835,     426.335,      20.481,      80.600,       3.375,     0.00104,     0.00000, 97057.20000
1980-01-15,      63.183,     512.894,      18.182,      96.042,       5.960,     0.02190,     0.00000, 95831.60000
1980-01-16,     234.208,     350.641,      13.747,      77.841,       6.848,     0.01500,     0.00000, 95251.90000
1980-01-17,     236.665,     344.853,      13.078,      70.302,       5.264,     0.00622,     0.00000, 96197.50000
1980-01-18,     218.698,     375.394,      15.534,      69.938,       5.131,     0.00168,     0.00000, 97282.20000
1980-01-19,      94.569,     505.402,      17.112,      87.103,       6.241,     0.00609,     0.00000, 97366.30000
1980-01-20,      74.174,     491.206,      15.052,      93.256,       0.835,     0.03126,     0.00000, 97629.30000
1980-01-21,      49.709,     505.739,      17.160,      98.191,       4.272,     0.06015,     0.00000, 97179.20000
1980-01-22,     198.787,     397.946,      16.234,      77.969,       5.014,     0.03611,     0.00000, 96915.40000
1980-01-23,     163.564,     432.798,      15.466,      80.532,       3.577,     0.00069,     0.00000, 97589.00000
1980-01-24,     188.238,     414.050,      17.417,      82.922,       3.742,     0.00229,     0.00000, 97708.40000
1980-01-25,     293.458,     290.325,      16.902,      76.683,       1.293,     0.00061,     0.00000, 98323.90000
1980-01-26,     287.057,     301.506,      18.666,      85.400,       1.461,     0.00001,     0.00000, 98483.40000
1980-01-27,     246.649,     353.435,      19.915,      84.346,       1.258,     0.00014,     0.00000, 98624.80000
1980-01-28,     215.339,     387.412,      19.344,      87.508,       1.515,     0.00019,     0.00000, 98747.10000
1980-01-29,     252.216,     343.341,      19.609,      85.021,       1.193,     0.00005,     0.00000, 98768.30000
1980-01-30,     209.951,     394.716,      19.774,      83.311,       1.533,     0.00016,     0.00000, 98769.70000
1980-01-31,     260.995,     333.196,      20.368,      84.185,       1.549,     0.00011,     0.00000, 98659.00000
1980-02-01,     278.273,     312.057,      20.573,      79.663,       1.268,     0.00007,     0.00000, 98340.40000
1980-02-02,     270.241,     316.445,      19.237,      77.668,       1.866,     0.00009,     0.00000, 97887.80000
1980-02-03,     269.577,     312.758,      18.322,      77.044,       2.522,     0.00000,     0.00000, 97606.10000
1980-02-04,     174.195,     431.180,      19.170,      82.497,       2.051,     0.00064,     0.00000, 97513.30000
1980-02-05,     235.978,     359.109,      20.400,      79.580,       0.035,     0.00059,     0.00000, 97358.60000
1980-02-06,     258.194,     331.463,      20.560,      72.793,       3.169,     0.00017,     0.00000, 96950.60000
1980-02-07,     153.769,     452.555,      18.809,      77.923,       0.640,     0.00137,     0.00000, 97574.70000
1980-02-08,     270.991,     303.862,      18.363,      77.224,       1.479,     0.00121,     0.00000, 97785.60000
1980-02-09,     151.311,     453.511,      18.939,      85.050,       2.858,     0.00205,     0.00000, 97534.30000
1980-02-10,     253.814,     313.742,      15.826,      61.374,       4.297,     0.00169,     0.00000, 97739.20000
1980-02-11,     202.581,     372.951,      15.380,      55.581,       5.067,     0.00001,     0.00000, 98589.90000
1980-02-12,     172.707,     407.157,      15.731,      66.277,       6.007,     0.00115,     0.00000, 98839.70000
1980-02-13,      77.348,     500.407,      16.392,      88.179,       5.659,     0.01919,     0.00000, 98561.50000
1980-02-14,      85.499,     504.479,      16.979,      76.918,       5.212,     0.00271,     0.00000, 98481.20000
1980-02-15,     161.009,     424.126,      16.860,      71.444,       4.373,     0.00021,     0.00000, 98443.10000
1980-02-16,     197.871,     379.666,      17.830,      77.982,       4.423,     0.00108,     0.00000, 98147.20000
1980-02-17,     131.269,     459.697,      17.010,      82.368,       2.104,     0.00394,     0.00000, 97703.80000
1980-02-18,     208.315,     359.916,      17.262,      84.800,       0.305,     0.00749,     0.00000, 97434.80000
1980-02-19,     227.543,     335.279,      17.547,      77.966,       1.131,     0.00589,     0.00000, 97292.10000
1980-02-20,     140.573,     444.911,      16.964,      78.292,       5.325,     0.00092,     0.00000, 96789.90000
1980-02-21,     143.094,     435.437,      16.051,      79.191,       3.510,     0.00264,     0.00000, 96888.00000
1980-02-22,     145.113,     437.625,      17.137,      78.518,       4.929,     0.00502,     0.00000, 96636.10000
1980-02-23,     183.577,     377.258,      15.267,      68.409,       1.052,     0.00059,     0.00000, 97501.40000
1980-02-24,     119.272,     460.263,      15.636,      86.675,       5.250,     0.00744,     0.00000, 97755.70000
1980-02-25,     191.042,     362.657,      15.036,      76.292,       6.055,     0.00585,     0.00000, 96900.70000
1980-02-26,     169.000,     394.281,      15.734,      69.326,       5.126,     0.00035,     0.00000, 96967.90000
1980-02-27,     224.609,     317.251,      15.578,      70.935,       2.461,     0.00003,     0.00000, 97519.70000
1980-02-28,     152.134,     407.178,      14.584,      78.667,       1.699,     0.00253,     0.00000, 97420.40000
1980-02-29,      63.153,     485.723,      14.244,      96.194,       5.921,     0.03074,     0.00000, 96751.70000
1980-03-01,      73.815,     498.161,      16.066,      89.821,       4.724,     0.01707,     0.00000, 96062.80000
1980-03-02,     183.283,     371.501,      16.922,      75.067,       4.495,     0.00073,     0.00000, 97029.50000
1980-03-03,     194.729,     348.978,      15.870,      74.234,       4.704,     0.00056,     0.00000, 97745.00000
1980-03-04,     129.307,     439.169,      15.934,      74.452,       4.470,     0.00059,     0.00000, 98149.80000
1980-03-05,     169.102,     378.637,      15.269,      70.312,       5.014,     0.00037,     0.00000, 98434.20000
1980-03-06,     145.550,     406.980,      14.769,      76.281,       5.340,     0.00307,     0.00000, 98312.50000
1980-03-07,     189.187,     348.155,      15.748,      72.636,       4.693,     0.00371,     0.00000, 98164.40000
1980-03-08,     194.834,     336.331,      15.419,      73.800,       0.966,     0.00019,     0.00000, 97933.40000
1980-03-09,     200.672,     328.406,      16.149,      75.056,       2.115,     0.00019,     0.00000, 97654.20000
1980-03-10,     158.556,     386.356,      15.977,      84.537,       2.084,     0.00178,     0.00000, 97483.80000
1980-03-11,     136.890,     415.358,      15.892,      91.358,       3.301,     0.01277,     0.00000, 96930.10000
1980-03-12,     193.079,     325.758,      14.423,      68.244,       2.400,     0.00876,     0.00000, 97330.30000
1980-03-13,     140.796,     393.303,      12.990,      70.581,       2.586,     0.00022,     0.00000, 98040.00000
1980-03-14,      31.818,     477.684,      13.047,      89.356,       4.003,     0.06119,     0.00000, 96247.10000
